DGRP,time,event,censor,tray
DGRP-732,6.2125,0,0,2
DGRP-732,7.034722222,0,0,2
DGRP-371,0,0,0,2
DGRP-371,0.225694444,0,0,2
DGRP-371,1.006944444,0,0,2
DGRP-371,1.218055556,0,0,2
DGRP-371,2.0375,0,0,2
DGRP-371,2.233333333,0,0,2
DGRP-371,3.014583333,0,0,2
DGRP-371,3.231944444,0,0,2
DGRP-371,4.013888889,0,0,2
DGRP-371,4.213888889,0,0,2
DGRP-371,5.015277778,0,0,2
DGRP-371,5.208333333,0,0,2
DGRP-371,6.033333333,0,0,2
DGRP-371,6.2125,0,0,2
DGRP-371,7.034722222,0,0,2
DGRP-101,0,0,0,2
DGRP-101,0.225694444,0,0,2
DGRP-101,1.006944444,0,0,2
DGRP-101,1.218055556,0,0,2
DGRP-101,2.0375,0,0,2
DGRP-101,2.233333333,0,0,2
DGRP-101,3.014583333,0,0,2
DGRP-101,3.231944444,0,0,2
DGRP-101,4.013888889,0,0,2
DGRP-101,4.213888889,0,0,2
DGRP-101,5.015277778,0,0,2
DGRP-101,5.208333333,0,0,2
DGRP-101,6.033333333,0,0,2
DGRP-101,6.2125,0,0,2
DGRP-101,7.034722222,0,0,2
DGRP-820,0,1,0,2
DGRP-820,0.225694444,0,0,2
DGRP-820,1.006944444,0,0,2
DGRP-820,1.218055556,0,0,2
DGRP-820,2.0375,0,0,2
DGRP-820,2.233333333,0,0,2
DGRP-820,3.014583333,0,0,2
DGRP-820,3.231944444,0,0,2
DGRP-820,4.013888889,0,0,2
DGRP-820,4.213888889,0,0,2
DGRP-820,5.015277778,0,0,2
DGRP-820,5.208333333,0,0,2
DGRP-820,6.033333333,0,0,2
DGRP-820,6.2125,0,0,2
DGRP-820,7.034722222,0,0,2
DGRP-287,0,0,0,2
DGRP-287,0.225694444,0,0,2
DGRP-287,1.006944444,0,0,2
DGRP-287,1.218055556,0,0,2
DGRP-287,2.0375,0,0,2
DGRP-287,2.233333333,0,0,2
DGRP-287,3.014583333,0,0,2
DGRP-287,3.231944444,0,0,2
DGRP-287,4.013888889,0,0,2
DGRP-287,4.213888889,0,0,2
DGRP-287,5.015277778,0,0,2
DGRP-287,5.208333333,0,0,2
DGRP-287,6.033333333,0,0,2
DGRP-287,6.2125,0,0,2
DGRP-287,7.034722222,0,0,2
DGRP-304,0,2,0,2
DGRP-304,0.225694444,0,0,2
DGRP-304,1.006944444,0,0,2
DGRP-304,1.218055556,0,0,2
DGRP-304,2.0375,0,0,2
DGRP-304,2.233333333,0,0,2
DGRP-304,3.014583333,0,0,2
DGRP-304,3.231944444,0,0,2
DGRP-304,4.013888889,0,0,2
DGRP-304,4.213888889,0,0,2
DGRP-304,5.015277778,0,0,2
DGRP-304,5.208333333,0,0,2
DGRP-304,6.033333333,0,0,2
DGRP-304,6.2125,0,0,2
DGRP-304,7.034722222,0,0,2
DGRP-391,0,0,1,3
DGRP-391,0.229861111,0,1,3
DGRP-391,1.008333333,0,1,3
DGRP-391,1.211805556,0,1,3
DGRP-391,2.015972222,7,1,3
DGRP-391,2.220138889,7,1,3
DGRP-391,3.005555556,92,1,3
DGRP-391,3.2125,11,1,3
DGRP-391,4.006944444,29,1,3
DGRP-391,4.213194444,0,1,3
DGRP-391,5.011111111,1,1,3
DGRP-391,5.208333333,0,1,3
DGRP-391,6.025694444,0,1,3
DGRP-391,6.213194444,0,1,3
DGRP-391,7.036805556,0,1,3
DGRP-365,0,0,1,3
DGRP-365,0.229861111,0,1,3
DGRP-365,1.008333333,0,1,3
DGRP-365,1.211805556,1,1,3
DGRP-365,2.015972222,119,1,3
DGRP-365,2.220138889,11,1,3
DGRP-365,3.005555556,20,1,3
DGRP-365,3.2125,0,1,3
DGRP-365,4.006944444,0,1,3
DGRP-365,4.213194444,0,1,3
DGRP-365,5.011111111,0,1,3
DGRP-365,5.208333333,0,1,3
DGRP-365,6.025694444,0,1,3
DGRP-365,6.213194444,0,1,3
DGRP-365,7.036805556,0,1,3
DGRP-757,0,0,1,3
DGRP-757,0.229861111,2,1,3
DGRP-757,1.008333333,3,1,3
DGRP-757,1.211805556,3,1,3
DGRP-757,2.015972222,63,1,3
DGRP-757,2.220138889,22,1,3
DGRP-757,3.005555556,28,1,3
DGRP-757,3.2125,15,1,3
DGRP-757,4.006944444,0,1,3
DGRP-757,4.213194444,0,1,3
DGRP-757,5.011111111,0,1,3
DGRP-757,5.208333333,0,1,3
DGRP-757,6.025694444,0,1,3
DGRP-757,6.213194444,0,1,3
DGRP-757,7.036805556,0,1,3
DGRP-303,0,0,1,3
DGRP-303,0.229861111,0,1,3
DGRP-303,1.008333333,1,1,3
DGRP-303,1.211805556,0,1,3
DGRP-303,2.015972222,3,1,3
DGRP-303,2.220138889,0,1,3
DGRP-303,3.005555556,72,1,3
DGRP-303,3.2125,19,1,3
DGRP-303,4.006944444,44,1,3
DGRP-303,4.213194444,4,1,3
DGRP-303,5.011111111,0,1,3
DGRP-303,5.208333333,0,1,3
DGRP-303,6.025694444,0,1,3
DGRP-303,6.213194444,0,1,3
DGRP-303,7.036805556,0,1,3
DGRP-309,0,0,1,3
DGRP-309,0.229861111,0,1,3
DGRP-309,1.008333333,0,1,3
DGRP-309,1.211805556,0,1,3
DGRP-309,2.015972222,2,1,3
DGRP-309,2.220138889,5,1,3
DGRP-309,3.005555556,57,1,3
DGRP-309,3.2125,13,1,3
DGRP-309,4.006944444,50,1,3
DGRP-309,4.213194444,10,1,3
DGRP-309,5.011111111,10,1,3
DGRP-309,5.208333333,1,1,3
DGRP-309,6.025694444,0,1,3
DGRP-309,6.213194444,0,1,3
DGRP-309,7.036805556,0,1,3
DGRP-318,0,0,1,3
DGRP-318,0.229861111,0,1,3
DGRP-318,1.008333333,0,1,3
DGRP-318,1.211805556,0,1,3
DGRP-318,2.015972222,2,1,3
DGRP-318,2.220138889,3,1,3
DGRP-318,3.005555556,69,1,3
DGRP-318,3.2125,24,1,3
DGRP-318,4.006944444,48,1,3
DGRP-318,4.213194444,2,1,3
DGRP-318,5.011111111,0,1,3
DGRP-318,5.208333333,0,1,3
DGRP-318,6.025694444,0,1,3
DGRP-318,6.213194444,0,1,3
DGRP-318,7.036805556,0,1,3
DGRP-88,0,0,1,3
DGRP-88,0.229861111,0,1,3
DGRP-88,1.008333333,4,1,3
DGRP-88,1.211805556,3,1,3
DGRP-88,2.015972222,29,1,3
DGRP-88,2.220138889,8,1,3
DGRP-88,3.005555556,65,1,3
DGRP-88,3.2125,9,1,3
DGRP-88,4.006944444,22,1,3
DGRP-88,4.213194444,5,1,3
DGRP-88,5.011111111,1,1,3
DGRP-88,5.208333333,0,1,3
DGRP-88,6.025694444,0,1,3
DGRP-88,6.213194444,0,1,3
DGRP-88,7.036805556,0,1,3
DGRP-109,0,0,1,3
DGRP-109,0.229861111,0,1,3
DGRP-109,1.008333333,0,1,3
DGRP-109,1.211805556,1,1,3
DGRP-109,2.015972222,5,1,3
DGRP-109,2.220138889,5,1,3
DGRP-109,3.005555556,84,1,3
DGRP-109,3.2125,24,1,3
DGRP-109,4.006944444,27,1,3
DGRP-109,4.213194444,0,1,3
DGRP-109,5.011111111,0,1,3
DGRP-109,5.208333333,0,1,3
DGRP-109,6.025694444,0,1,3
DGRP-109,6.213194444,0,1,3
DGRP-109,7.036805556,0,1,3
DGRP-391,0,0,0,3
DGRP-391,0.229861111,0,0,3
DGRP-391,1.008333333,0,0,3
DGRP-391,1.211805556,0,0,3
DGRP-391,2.015972222,0,0,3
DGRP-391,2.220138889,0,0,3
DGRP-391,3.005555556,0,0,3
DGRP-391,3.2125,0,0,3
DGRP-391,4.006944444,0,0,3
DGRP-391,4.213194444,0,0,3
DGRP-391,5.011111111,0,0,3
DGRP-391,5.208333333,0,0,3
DGRP-391,6.025694444,0,0,3
DGRP-391,6.213194444,0,0,3
DGRP-391,7.036805556,0,0,3
DGRP-365,0,0,0,3
DGRP-365,0.229861111,0,0,3
DGRP-365,1.008333333,0,0,3
DGRP-365,1.211805556,0,0,3
DGRP-365,2.015972222,0,0,3
DGRP-365,2.220138889,0,0,3
DGRP-365,3.005555556,0,0,3
DGRP-365,3.2125,0,0,3
DGRP-365,4.006944444,0,0,3
DGRP-365,4.213194444,0,0,3
DGRP-365,5.011111111,0,0,3
DGRP-365,5.208333333,0,0,3
DGRP-365,6.025694444,0,0,3
DGRP-365,6.213194444,0,0,3
DGRP-365,7.036805556,0,0,3
DGRP-757,0,6,0,3
DGRP-757,0.229861111,0,0,3
DGRP-757,1.008333333,0,0,3
DGRP-757,1.211805556,0,0,3
DGRP-757,2.015972222,0,0,3
DGRP-757,2.220138889,0,0,3
DGRP-757,3.005555556,0,0,3
DGRP-757,3.2125,0,0,3
DGRP-757,4.006944444,0,0,3
DGRP-757,4.213194444,0,0,3
DGRP-757,5.011111111,0,0,3
DGRP-757,5.208333333,0,0,3
DGRP-757,6.025694444,0,0,3
DGRP-757,6.213194444,0,0,3
DGRP-757,7.036805556,0,0,3
DGRP-303,0,0,0,3
DGRP-303,0.229861111,0,0,3
DGRP-303,1.008333333,0,0,3
DGRP-303,1.211805556,0,0,3
DGRP-303,2.015972222,0,0,3
DGRP-303,2.220138889,0,0,3
DGRP-303,3.005555556,0,0,3
DGRP-303,3.2125,0,0,3
DGRP-303,4.006944444,0,0,3
DGRP-303,4.213194444,0,0,3
DGRP-303,5.011111111,0,0,3
DGRP-303,5.208333333,0,0,3
DGRP-303,6.025694444,0,0,3
DGRP-303,6.213194444,0,0,3
DGRP-303,7.036805556,1,0,3
DGRP-309,0,0,0,3
DGRP-309,0.229861111,0,0,3
DGRP-309,1.008333333,0,0,3
DGRP-309,1.211805556,0,0,3
DGRP-309,2.015972222,0,0,3
DGRP-309,2.220138889,0,0,3
DGRP-309,3.005555556,0,0,3
DGRP-309,3.2125,0,0,3
DGRP-309,4.006944444,0,0,3
DGRP-309,4.213194444,0,0,3
DGRP-309,5.011111111,0,0,3
DGRP-309,5.208333333,0,0,3
DGRP-309,6.025694444,0,0,3
DGRP-309,6.213194444,0,0,3
DGRP-309,7.036805556,0,0,3
DGRP-318,0,1,0,3
DGRP-318,0.229861111,0,0,3
DGRP-318,1.008333333,0,0,3
DGRP-318,1.211805556,0,0,3
DGRP-318,2.015972222,0,0,3
DGRP-318,2.220138889,0,0,3
DGRP-318,3.005555556,0,0,3
DGRP-318,3.2125,0,0,3
DGRP-318,4.006944444,0,0,3
DGRP-318,4.213194444,0,0,3
DGRP-318,5.011111111,0,0,3
DGRP-318,5.208333333,0,0,3
DGRP-318,6.025694444,0,0,3
DGRP-318,6.213194444,0,0,3
DGRP-318,7.036805556,0,0,3
DGRP-88,0,1,0,3
